price,quantity,seller_inflow,buyer_outflow
1.0,1.96,1.96,1.94
1.0,1.98,1.98,1.96
1.0,1.99,1.99,1.98
1.0,2.01,2.01,1.99
1.0,2.02,2.02,2.01
1.0,2.04,2.04,2.02
1.0,2.05,2.05,2.04
1.0,2.07,2.07,2.05
1.0,2.09,2.09,2.07
1.0,2.1,2.1,2.09
1.0,2.12,2.12,2.1
1.0,2.13,2.13,2.12
1.0,2.15,2.15,2.13
1.0,2.16,2.16,2.15
1.0,2.12,2.12,2.16
1.0,2.12,2.12,2.12
1.0,2.13,2.13,2.12
1.0,2.33,2.33,2.13
1.0,2.36,2.36,2.33
1.0,1.96,1.96,2.36
1.0,1.92,1.92,1.96
1.0,1.94,1.94,1.92
1.0,1.93,1.93,1.94
1.0,1.9,1.9,1.93
1.0,1.88,1.88,1.9
1.0,1.86,1.86,1.88
1.0,1.84,1.84,1.86
1.0,2.01,2.01,1.84
1.0,2.02,2.02,2.01
1.0,2.01,2.01,2.02
1.0,2.02,2.02,2.01
1.0,2.03,2.03,2.02
1.0,2.03,2.03,2.03
1.0,2.04,2.04,2.03
1.0,2.04,2.04,2.04
1.0,2.05,2.05,2.04
1.0,2.05,2.05,2.05
1.0,2.06,2.06,2.05
1.0,2.07,2.07,2.06
1.0,2.07,2.07,2.07
1.0,2.08,2.08,2.07
1.0,2.08,2.08,2.08
1.0,2.09,2.09,2.08
1.0,2.09,2.09,2.09
1.0,2.1,2.1,2.09
1.0,2.1,2.1,2.1
1.0,2.11,2.11,2.1
1.0,2.11,2.11,2.11
1.0,2.12,2.12,2.11
1.0,2.12,2.12,2.12
1.0,2.13,2.13,2.12
1.0,2.03,2.03,2.13
1.0,2.01,2.01,2.03
1.0,2.01,2.01,2.01
1.0,2.0,2.0,2.01
1.0,1.99,1.99,2.0
1.0,1.99,1.99,1.99
1.0,1.98,1.98,1.99
1.0,1.97,1.97,1.98
1.0,1.96,1.96,1.97
1.0,1.95,1.95,1.96
1.0,1.94,1.94,1.95
1.0,1.94,1.94,1.94
1.0,1.93,1.93,1.94
1.0,1.92,1.92,1.93
1.0,1.91,1.91,1.92
1.0,1.9,1.9,1.91
1.0,1.9,1.9,1.9
1.0,1.89,1.89,1.9
1.0,1.88,1.88,1.89
1.0,1.87,1.87,1.88
1.0,1.87,1.87,1.87
1.0,1.86,1.86,1.87
1.0,1.85,1.85,1.86
1.0,1.85,1.85,1.85
1.0,1.84,1.84,1.85
1.0,1.83,1.83,1.84
1.0,1.83,1.83,1.83
